folder,examples,time,RRE,RTE
7-scenes-redkitchen,10 12,0:00:04.005356,0.870394655578009,0.014286700947339161
7-scenes-redkitchen,10 13,0:00:02.552567,1.4308631396286544,0.03718239894378408
7-scenes-redkitchen,10 14,0:00:01.056149,2.7007964998683516,0.05465129501899889
7-scenes-redkitchen,10 15,0:00:03.522551,1.466646532431213,0.056253556220320834
7-scenes-redkitchen,10 16,0:00:06.030842,1.5032207563286064,0.13507855886852496
7-scenes-redkitchen,10 17,0:00:13.747787,1.370660386430083,0.5023516364251498
7-scenes-redkitchen,10 18,0:00:03.004210,1.1611352234893897,0.08380301799712035
7-scenes-redkitchen,10 19,0:00:01.877692,1.150770624851585,0.05041120029476248
7-scenes-redkitchen,10 20,0:00:03.004616,1.2884628939742206,0.1424930814192707
7-scenes-redkitchen,10 25,0:00:02.652334,1.0469893680490105,0.047079058649314436
7-scenes-redkitchen,10 26,0:00:04.122685,1.6373921594772942,0.07476765974009558
7-scenes-redkitchen,10 27,0:00:02.631366,3.592312105452574,0.13186863936283952
7-scenes-redkitchen,10 36,0:00:02.672821,1.286038051082273,0.06515946819596145
7-scenes-redkitchen,10 37,0:00:01.786687,1.4543760295417818,0.09278585485347327
7-scenes-redkitchen,10 38,0:00:11.965558,1.5777631629983055,0.6515657301744356
7-scenes-redkitchen,10 39,0:00:07.625944,1.7570848014685316,0.11241759295609748
7-scenes-redkitchen,11 12,0:00:01.460816,0.4882758966361616,0.0013466457558710444
7-scenes-redkitchen,11 13,0:00:01.164763,1.2624018772860588,0.00826158061273968
7-scenes-redkitchen,11 14,0:00:01.491249,2.3352830406369574,0.042680701052205054
7-scenes-redkitchen,11 15,0:00:01.869456,1.9482773705780214,0.03097404007017089
7-scenes-redkitchen,11 18,0:00:02.324699,1.3779881754329337,0.10529558464318894
7-scenes-redkitchen,11 19,0:00:01.864757,1.2253013535365709,0.056679665483352785
7-scenes-redkitchen,11 25,0:00:01.450747,1.5408306095466175,0.038285717380226944
7-scenes-redkitchen,11 26,0:00:03.801154,1.7890059486650316,0.047755413526325875
7-scenes-redkitchen,11 27,0:00:02.258950,1.7665815591798113,0.05844519620548056
7-scenes-redkitchen,11 28,0:00:05.206321,94.09001650919757,2.331504546607655
7-scenes-redkitchen,11 37,0:00:10.442561,1.5123680464103724,0.0908555426454517
7-scenes-redkitchen,11 38,0:00:04.526957,2.020718434866958,0.08473627040445003
7-scenes-redkitchen,11 39,0:00:02.358545,1.8897775342665222,0.10154440638007539
7-scenes-redkitchen,12 13,0:00:01.132632,0.5158521755889556,0.00395777479619161
7-scenes-redkitchen,12 14,0:00:01.175256,2.0023065727164093,0.03534233335556936
7-scenes-redkitchen,12 15,0:00:02.437079,1.7388003175429119,0.03690308524561376
7-scenes-redkitchen,12 19,0:00:01.592227,1.630422015181333,0.027534452846124418
7-scenes-redkitchen,12 26,0:00:03.770932,1.4972379919701495,0.037816925902290605
7-scenes-redkitchen,12 27,0:00:04.901873,1.6110375146450742,0.03441511649166288
7-scenes-redkitchen,12 28,0:00:02.204263,1.4686156999045028,0.05850804583770231
7-scenes-redkitchen,12 29,0:00:02.113291,1.804413331510937,0.05658409664760648
7-scenes-redkitchen,12 37,0:00:02.470068,2.204343381541247,0.03974852282822637
7-scenes-redkitchen,12 40,0:00:02.021353,2.4541288220933595,0.09836768181826616
7-scenes-redkitchen,12 41,0:00:02.292817,2.0466110344165624,0.09479406886530656
7-scenes-redkitchen,12 42,0:00:01.526011,1.9119595207100508,0.07964592595397325
7-scenes-redkitchen,12 43,0:00:00.934742,1.9677600512064537,0.08182957594515175
7-scenes-redkitchen,12 44,0:00:00.811185,1.9334658792858044,0.08282631718719077
7-scenes-redkitchen,13 14,0:00:02.034516,0.9365190269157584,0.016457511076537472
7-scenes-redkitchen,13 15,0:00:02.665030,1.1198293769117416,0.046247038838717114
7-scenes-redkitchen,13 26,0:00:04.110579,1.3070921598981922,0.041704796513761654
7-scenes-redkitchen,13 27,0:00:04.344728,1.4358528702180755,0.018707349457284726
7-scenes-redkitchen,13 28,0:00:01.483252,1.7367943931331868,0.06023070754561534
7-scenes-redkitchen,13 29,0:00:01.076257,1.7150595571495204,0.044687059148882484
7-scenes-redkitchen,13 40,0:00:01.937058,2.526264456158436,0.1075919118448361
7-scenes-redkitchen,13 41,0:00:02.387825,2.270947724615343,0.09893794386288243
7-scenes-redkitchen,13 42,0:00:01.381668,2.1122634036250263,0.0782139678627737
7-scenes-redkitchen,13 43,0:00:02.054021,2.044509444181823,0.07279031241665666
7-scenes-redkitchen,13 44,0:00:01.534355,1.9571103977030437,0.07110314206135163
7-scenes-redkitchen,13 45,0:00:01.066095,1.4277384093840522,0.04856877962534829
7-scenes-redkitchen,14 15,0:00:01.251283,0.4978699994165101,0.012344901457196269
7-scenes-redkitchen,14 19,0:00:11.513253,5.002200613626139,1.7636550731350076
7-scenes-redkitchen,14 25,0:00:03.250644,2.6969601338305043,0.12199546335728075
7-scenes-redkitchen,14 26,0:00:01.799129,2.2941492231017793,0.062474756417213784
7-scenes-redkitchen,14 27,0:00:03.473206,2.1937399572182357,0.03310847987647406
7-scenes-redkitchen,14 28,0:00:08.006891,179.02360341349785,3.3426769611827774
